controlId,family,practice,implementedBy,status,evidencePath,notes
3.1.1,AC,Limit system access to authorized users; processes acting on behalf of authorized users; and devices (including other systems),app-control,implemented,src/lib/ai/executors/_ctx.ts,Per-tool RBAC via assertPermission(); all tool invocations gated against OrgMember role bits before execution
3.1.2,AC,Limit system access to the types of transactions and functions that authorized users are permitted to execute,app-control,implemented,src/lib/ai/executors/_ctx.ts,42 executors each declare required permission bit; cosmos_app DB role revoked UPDATE/DELETE on audit tables; least-privilege DB role documented in migration 20260606050000
3.1.3,AC,Control the flow of CUI in accordance with approved authorizations,chokepoint,implemented,src/lib/ai/egress/gate.ts,"Single fail-closed egress path in src/lib/ai/egress/; MAC ceiling (FOUO+) withheld regardless of tenant class; EgressDecision logged per turn; arch test enforces single-path. CUI-by-reference (opaque-handle resolver, src/lib/ai/egress/handles.ts): when a CUI field is WITHHELD from the CUI-blind model, an unguessable conversation-scoped token (h:<base64url(18 random bytes)>, 144 bits) is minted for the value (sealed at rest in egress_handles via the vault, never plaintext) and the TOKEN — not the value — is surfaced to the model, so the agent can MOVE/FILE/ROUTE CUI it never reads. Tokens RESOLVE to the real value IN-BOUNDARY (before the executor runs) only within the conversation they were minted in (resolveHandle verifies conversationId — a token from conversation A does NOT resolve in B; the cross-conversation/cross-tenant boundary); the executor result is re-gated by the same chokepoint (no echo-back to the model). WRITE-PATH TAINT (v2.13.0, src/lib/ai/agent-loop.ts): each handle is bound at mint to the effective ceiling of the data it stands for, and that mint-ceiling is enforced on BOTH flow directions — (a) the read-back gate folds it (max-by-rank) into the resolving turn's result ceiling, and (b) the persist path REJECTS fail-closed BEFORE executeTool any tool call that resolves a handle minted at ceiling X into a target context (destination project's, or org's, effective ceiling) classified BELOW X. The CUI is never written into the lower-classification container, never reaches the model (the rejection names only the classification LEVELS, never the value), and the prevented down-classification write is logged as decidedBy handle_taint_block (counts + content-hash of the ORIGINAL handle args, never the resolved CUI). This closes the residual where the agent could launder CUI DOWN by filing a withheld value into an entity cleared only for a lower level. Both events are recorded to the egress_decisions trail (decidedBy handle_mint / handle_resolve / handle_taint_block, counts + content-hash, never CUI). Default-deny minting (HANDLEABLE_FIELDS allowlist only); EXPOSABLE_FIELDS read-allowlist unchanged; gated by EGRESS_HANDLES_ENABLED (off = fields dropped + no resolution + no taint check, as before). Threat-model covered by handles.test.ts + augment.test.ts + handles-loop.redteam.test.ts (cross-conversation isolation, no-echo-back, exact-match, default-deny, flag-off parity) + write-path-taint.redteam.test.ts (down-classification BLOCK with executor-not-called, at-or-above ALLOW, no-handle unaffected, no-projectId=org-ceiling, flag-off parity). GOV EXPOSABILITY-MAP SIGN-OFF GATE (cutover finisher, scripts/cutover/lib/exposability.ts + orchestrate.mjs): the field-level default-deny exposability map (what the CUI-blind model may SEE per tool result — projection.ts EXPOSABLE_FIELDS/HANDLEABLE_FIELDS/TOOL_ENTITY merged with the connector registry) is a script-authored AC-4 flow-control authorization. Before a GOV tenant's cutover flip is allowed, that EXACT map is captured as a canonical, hash-stable snapshot (exposability-snapshot.mjs — JSON + reviewer markdown + sha256, assembled from the LIVE merged maps the gate enforces, never a re-hardcoded copy) and a named reviewer signs off on it (compliance/exposability/signoff/<orgSlug>.json = {orgSlug, mapHash, reviewer, signedAt, leakTestPassed}). The orchestrator's requireExposabilitySignoff enforces, fail-closed, that a GOV flip proceeds ONLY with a sign-off whose mapHash equals the CURRENT map hash AND leakTestPassed===true — a missing file, a stale hash (the map changed since sign-off), or a failed leak test BLOCKS the flip before any freeze; commercial flips need no sign-off (unaffected). So an authorization for CUI flow to the commercial model is a human-reviewed, hash-bound, leak-tested approval that can never silently diverge from the running gate. RUNTIME-CONFIG GOV DESIGNATION (design §8): the per-org tenantClass that selects gov default-deny vs commercial flow is a PLATFORM-OWNER authority (isInternalAdmin), separated from the tenant-admin connector-enablement authority; a flip to GOV atomically applies the gov guardrails (breadth/MCP off, commercial-only connectors stripped) and the tenant-admin runtime-config PATCH cannot lift them (server-side 400) — so the information-flow class itself cannot be widened by a tenant. See src/lib/runtime-config/guardrails.ts + the tenant-class/runtime-config routes."
3.1.4,AC,Separate the duties of individuals to reduce the risk of malevolent activity without collusion,app-control,partial,-,OrgMember permission bits separate read/write/admin roles; platform-owner vs tenant-admin separation designed; full duty-separation matrix and SoD policy doc not yet authored
3.1.5,AC,Employ the principle of least privilege including for specific security functions and privileged accounts,app-control,implemented,prisma/migrations/20260606050000_audit_immutability/migration.sql,cosmos_app DB role has INSERT/SELECT/UPDATE/DELETE on app tables; REVOKE UPDATE/DELETE/TRUNCATE on audit_logs and egress_decisions; root DB role reserved for migrations only
3.1.6,AC,Use non-privileged accounts or roles when accessing non-security functions,app-control,implemented,src/lib/ai/executors/_ctx.ts,App runs as cosmos_app (non-superuser); tools execute as authenticated org member; no privilege escalation path in executor chain
3.1.7,AC,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs,app-control,implemented,src/lib/ai/executors/_ctx.ts,assertPermission() throws on insufficient bits; all tool executions logged to audit_logs; egress chokepoint logs EgressDecision for every model-bound value
3.1.8,AC,Limit unsuccessful logon attempts,app-control,partial,-,Session invalidation on auth failure exists; no explicit configurable lockout counter or account lockout policy implemented yet; planned for SSO/SAML phase
3.1.9,AC,Provide privacy and security notices consistent with CUI rules,policy,policy-required-not-yet-authored,-,System banner / privacy notice text is a policy artifact; SSP narrative references the requirement; UI banner hook exists but content not yet authored
3.1.10,AC,Use session lock with pattern-hiding displays after a period of inactivity,app-control,partial,-,Session expires via expires_at column; client-side idle lock not yet implemented; planned
3.1.11,AC,Terminate (automatically) a user session after a defined condition,app-control,implemented,src/lib/auth/session.ts,Sessions store expires_at; middleware rejects expired sessions; gov tenants can configure shorter session duration via security settings API
3.1.12,AC,Monitor and control remote access sessions,app-control,partial,-,Audit log captures remote actions; dedicated remote-access session monitoring dashboard not yet built; planned for observability phase
3.1.13,AC,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions,app-control,implemented,compose/Caddyfile,TLS terminated by Caddy reverse proxy; all HTTP traffic to cosmos service is internal-network only; X-Forwarded-Proto enforced
3.1.14,AC,Route remote access via managed access control points,app-control,implemented,compose/Caddyfile,Single ingress via Caddy reverse proxy; direct port exposure disabled in compose; cosmos service not on public network
3.1.15,AC,Authorize remote execution of privileged commands and access to security-relevant information via remote access only for documented operational needs,policy,policy-required-not-yet-authored,-,Requires written operational procedures documenting approved remote-admin scenarios; policy not yet authored
3.1.16,AC,Authorize wireless access prior to allowing such connections,policy,policy-required-not-yet-authored,-,Infrastructure/facility wireless policy; out of software scope; policy required by deploying organization
3.1.17,AC,Protect wireless access using authentication and encryption,policy,policy-required-not-yet-authored,-,Infrastructure/facility wireless policy; out of software scope; policy required by deploying organization
3.1.18,AC,Control connection of mobile devices,policy,policy-required-not-yet-authored,-,MDM/mobile device policy; out of software scope; policy required by deploying organization
3.1.19,AC,Encrypt CUI on mobile devices and mobile computing platforms,policy,policy-required-not-yet-authored,-,Device encryption policy for endpoints; out of software scope; policy required by deploying organization
3.1.20,AC,Verify and control/limit connections to external systems,app-control,implemented,src/lib/integrations/nango.ts,"SSRF guard on outbound webhook URLs (src/lib/security/webhook-url.ts); external connections to commercial SaaS are brokered through a single CONTROLLED broker — self-hosted Nango (OSS unified-API/OAuth engine) running IN-BOUNDARY on the compose network (the `nango` profile: cosmos-nango-server + dedicated postgres + redis, all digest-pinned; the app reaches it ONLY at the internal NANGO_HOST, never the public internet directly). Nango holds the per-provider OAuth/API-key credentials org-scoped; the app proxies data through it and NEVER handles the provider token (CA-3 system-interconnection / SA-9 external-service controlled via a broker). NANGO_SECRET_KEY is a platform secret injected via env/Docker-secret, never logged, never returned to client/model. D5 COMMERCIAL-ONLY gov-block (load-bearing): a gov tenant can NEVER reach Nango by ANY path — defense in depth at 4 layers: (L1) the connector registry's tenant-filtered tool list excludes the commercial-only Nango descriptor for tenantClass=gov so the CUI-blind model never SEES a nango_* tool (src/lib/ai/connectors/registry.ts connectorToolDefs(tenantClass) + agent-loop.ts); (L2) executeConnectorTool hard-REFUSES a commercial-only tool for a gov (or class-absent → fail-closed) ctx, audited as decidedBy connector_availability_block; (L3) the Nango executor hard-checks tenantClass!==commercial at the TOP before any broker call (src/lib/ai/executors/nango.ts); (L4) the connect-session route returns 403 for any non-COMMERCIAL org, audited, before any Nango call (src/app/api/v1/orgs/[orgId]/integrations/nango/connect/route.ts). Org default tenantClass is GOV (fail-closed). Nango tool results have NO egress entity mapping ⇒ full-withhold on the gov/withheld path (moot — blocked); commercial flows below FOUO with the marking-DLP tripwire still applied. Proven by src/lib/ai/connectors/gov-block.test.ts (L1/L2 + egress full-withhold), src/lib/ai/executors/nango.test.ts (L3), the connect route test (L4), and the invariant lock (a gov tenant's connector tool list is byte-identical to pre-Nango)."
3.1.21,AC,Limit use of portable storage devices on external systems,policy,policy-required-not-yet-authored,-,Physical/endpoint policy; out of software scope; policy required by deploying organization
3.1.22,AC,Control CUI posted or processed on publicly accessible systems,app-control,implemented,src/lib/ai/egress/gate.ts,Egress chokepoint withholds CUI/FOUO from model (external system); public-facing API routes require authentication; no anonymous CUI access paths
3.2.1,AT,Ensure that managers; supervisors; and security personnel are aware of the security risks associated with their activities and of the applicable policies; standards; and procedures related to the security of organizational systems,policy,policy-required-not-yet-authored,-,Security awareness training program; policy and training content required by deploying organization
3.2.2,AT,Ensure that organizational personnel are trained to carry out their assigned information security responsibilities,policy,policy-required-not-yet-authored,-,Role-based security training program; policy and training content required by deploying organization
3.2.3,AT,Provide security awareness training on recognizing and reporting potential threats,policy,policy-required-not-yet-authored,-,Threat recognition training (phishing/social engineering); policy and training content required by deploying organization
3.3.1,AU,Create and retain system audit logs and records to the extent needed to enable the monitoring; analysis; investigation; and reporting of unlawful or unauthorized system activity,app-control,implemented,src/lib/audit.ts,append-only audit_logs table (trigger-enforced); append-only egress_decisions; gov 3yr retention floor enforced via GOV_AUDIT_RETENTION_FLOOR_DAYS=1095 in security settings API. AU-11 sanctioned RETENTION-PURGE now SHIPPED (migration 20260606130000_audit_retention_checkpoint + scripts/dsop/purge-audit.mjs): the ONLY legitimate audit-delete path. Owner-only (refuses cosmos_app which can neither DELETE nor SET session_replication_role); records a signed chain-checkpoint at the purge boundary then DELETEs rows<=N in ONE owner txn (SET LOCAL session_replication_role=replica - the only trigger-bypass, for that txn only). Hard guards: refuses below the 1095-day gov floor unless an explicit TEST-only AUDIT_PURGE_ALLOW_BELOW_FLOOR_DAYS override; refuses if N>latest WORM-attested toSeq (WORM-export-FIRST ordering so purged rows are anchored offsite first); idempotent. verify_audit_chain re-anchors at the checkpoint (first retained row prev_hash==checkpoint_row_hash) so the chain stays verifiable across the purge boundary - cosmos_app STILL cannot delete audit rows (REVOKE+trigger unchanged). Empirically proven on PG16. See docs/runbooks/audit-integrity.md sec 4
3.3.2,AU,Ensure that the actions of individual users can be traced to those users so they can be held accountable for their actions,app-control,implemented,src/lib/audit.ts,audit_logs records userId; orgId; action; entity; entityId; ipAddress; all tool calls logged via tool-executor.ts with acting userId; FK-decoupled (org delete no longer cascades to logs)
